cfc,Q,2,
chh,p,0,0
chh,p,0,0
chh,p,0,0
chh,p,0,0
chh,p,1,1
chh,p,1,1
chh,p,1,1
chh,p,2,2
chh,p,2,2
chh,p,3,3
chh,p,3,3
chh,p,4,4
chh,p,5,5
chh,p,5,5
chh,p,6,6
chh,p,7,7
chh,p,8,8
chh,p,9,9
chh,p,10,10
chh,p,11,11
chh,p,13,13
chh,p,14,14
chh,p,15,15
chh,p,17,17
chh,p,18,18
chh,p,20,20
chh,p,21,21
chh,p,23,23
chh,p,25,25
chh,p,26,26
chh,p,28,28
chh,p,30,30
chh,p,32,32
chh,p,34,34
chh,p,36,36
chh,p,38,38
chh,p,41,41
chh,p,43,43
chh,p,45,45
chh,p,48,48
chh,p,50,50
chh,p,53,53
chh,p,55,55
chh,p,58,58
chh,p,61,61
chh,p,63,63
chh,p,66,66
chh,p,69,69
chh,p,72,72
chh,p,75,75
chh,p,78,78
chh,p,81,81
chh,p,85,85
chh,p,88,88
chh,p,91,91
chh,p,94,94
chh,p,98,98
chh,p,101,101
chh,p,105,105
chh,p,108,108
chh,p,112,112
chh,p,116,116
chh,p,120,120
chh,p,123,123
chh,p,127,127
chh,p,131,131
chh,p,135,135
chh,p,139,139
chh,p,143,143
chh,p,147,147
chh,p,152,152
chh,p,156,156
chh,p,160,160
chh,p,164,164
chh,p,169,169
chh,p,173,173
chh,p,178,178
chh,p,182,182
chh,p,187,187
chh,p,191,191
chh,p,196,196
chh,p,200,200
chh,p,205,205
chh,p,210,210
chh,p,214,214
chh,p,219,219
chh,p,224,224
chh,p,229,229
chh,p,234,234
chh,p,239,239
chh,p,244,244
chh,p,249,249
chh,p,254,254
chh,p,259,259
chh,p,264,264
chh,p,269,269
chh,p,274,274
chh,p,279,279
chh,p,284,284
chh,p,289,289
chh,p,294,294
chh,p,299,299
chh,p,304,304
chh,p,309,309
chh,p,314,314
chh,p,319,319
chh,p,324,324
chh,p,329,329
chh,p,335,335
chh,p,340,340
chh,p,345,345
chh,p,350,350
chh,p,355,355
chh,p,359,359
chh,p,364,364
chh,p,369,369
chh,p,374,374
chh,p,379,379
chh,p,384,384
chh,p,388,388
chh,p,393,393
chh,p,398,398
chh,p,402,402
chh,p,407,407
chh,p,411,411
chh,p,416,416
chh,p,420,420
chh,p,424,424
chh,p,429,429
chh,p,433,433
chh,p,437,437
chh,p,441,441
chh,p,444,444
chh,p,448,448
chh,p,452,452
chh,p,455,455
chh,p,459,459
chh,p,462,462
chh,p,465,465
chh,p,469,469
chh,p,471,471
